id,key,value,concept_code,parent_id,sort_order,category,default,reserved
,college,College Department,,,1,potential_funding_source,,
,federal,Federal,,,2,potential_funding_source,,
,foundation,Foundation/Organization,,,3,potential_funding_source,,
,industry,Industry-Initiated/Industry-Sponsored,,,4,potential_funding_source,,
,investigator,Investigator-Initiated/Industry-Sponsored,,,6,potential_funding_source,,
,internal,Internal Funded Pilot Project,,,5,potential_funding_source,,
,unfunded,Student Funded Research,,,7,potential_funding_source,,
