id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
,college,College Department,,,1,potential_funding_source,,,1
,federal,Federal,,,2,potential_funding_source,,,1
,foundation,Foundation/Organization,,,3,potential_funding_source,,,1
,industry,Industry-Initiated/Industry-Sponsored,,,4,potential_funding_source,,,1
,investigator,Investigator-Initiated/Industry-Sponsored,,,6,potential_funding_source,,,1
,internal,Internal Funded Pilot Project,,,5,potential_funding_source,,,1
,unfunded,Student Funded Research,,,7,potential_funding_source,,,1
